customer_id,first_name,last_name,email,phone,date_of_birth,province,city,postal_code,account_creation_date,subscription_type,monthly_charges,total_charges,contract_length,payment_method,paperless_billing,auto_pay,referral_code,last_login_date,account_status
CUST_000001,Danny,Cooper,cody51@example.org,544-706-3695 x989,1996-06-14,ON,Port Jaime,K0X 4H3,2023-08-02,Enterprise,144.58342938994863,866.5462764169542,24,Credit Card,True,True,,2023-11-30,Active
CUST_000002,Michael,Brown,denisemccarthy@example.org,1-238-230-7375,1971-01-12,ON,South Jonathanchester,K3H 8T0,2022-07-29,Basic,30.1736739437529,543.6124280397006,12,Bank Transfer,False,True,,2023-11-15,Active
CUST_000003,Julian,Davis,abigail44@example.org,287.864.6167,1958-06-26,QC,Leahmouth,G2W 6K4,2023-05-09,Premium,57.92322151937088,461.10286386855876,12,PayPal,False,True,REF5842,2023-08-22,Active
CUST_000004,Kirsten,Clark,kevinrogers@example.org,(594) 341-9882,2000-07-27,AB,West Rodney,T9I 0X7,2023-10-14,Basic,30.098648046272643,90.26612438772841,12,Credit Card,False,True,,2023-12-29,Active
CUST_000005,Richard,Turner,jessicamiller@example.org,1 (711) 311-8888,1959-12-05,ON,Pamelabury,P5S 3W1,2022-09-17,Basic,28.62792732658333,431.1729811471101,12,Credit Card,True,False,,2022-12-05,Active
CUST_000006,Shannon,Garcia,chapmanann@example.com,+1 (494) 467-4624,1987-06-01,QC,Savageview,G6I 7U5,2023-10-26,Basic,28.978299637371098,86.53624573016013,12,Credit Card,False,True,,2023-12-03,Active
CUST_000007,Deanna,Moreno,cody78@example.com,1-933-181-5844,2003-01-02,QC,Byrdmouth,J1T 2R3,2022-08-26,Premium,57.97075156007781,933.1237439722297,12,Credit Card,False,False,,2023-04-26,Active
CUST_000008,Danielle,Lopez,arubio@example.com,(787) 876-6922 x715,1956-06-23,QC,Wilsonville,J3V 5Y0,2022-04-21,Basic,29.177415167820346,613.631674555003,24,Credit Card,True,False,,2022-11-01,Active
CUST_000009,Jennifer,Johnson,carsoncharles@example.net,(120) 992-1215,1960-11-25,ON,East Mary,P5G 7M7,2022-09-30,Enterprise,144.63343098504052,2164.5649994577907,36,Bank Transfer,True,True,,2023-09-04,Active
CUST_000010,Sabrina,Cox,sharon03@example.net,731.781.6511,1953-10-29,ON,Hensleyhaven,P6S 6L3,2023-03-05,Basic,31.481480008189493,317.96828164864377,24,Credit Card,True,False,REF2464,2023-04-15,Active
CUST_000011,Melissa,Mills,atanner@example.net,913.683.7983,1954-04-27,ON,North Katieshire,K2U 2Z6,2022-04-20,Basic,30.27913068316519,636.5286164421198,12,PayPal,False,False,,2022-08-11,Active
CUST_000012,Stephanie,Goodman,amandadickerson@example.org,774 826 6513,1979-10-02,ON,Gabrielmouth,M8A 1V8,2023-05-31,Premium,61.49501591975007,429.299680764399,12,Credit Card,False,True,REF7066,2023-08-20,Active
CUST_000013,Craig,Johnson,martineztheresa@example.org,+1 (490) 487-4652,1992-08-16,QC,New Michelle,G4Q 2Q1,2022-12-21,Basic,31.10118519094046,370.2721894860439,36,Bank Transfer,False,True,REF3418,2022-12-26,Active
CUST_000014,Paul,Kim,jenniferjones@example.com,869.850.4370,1959-09-27,SK,West Christieview,S9K 7A1,2022-11-18,Premium,62.56416259897145,812.6556675815708,24,PayPal,False,True,REF9570,2023-06-04,Active
CUST_000015,Nathaniel,Rodriguez,stephanie43@example.com,1-813-718-5809,1979-01-09,ON,Mollymouth,K1X 7C8,2022-07-05,Basic,30.787237453491656,525.2661452053162,12,Credit Card,True,False,,2023-04-01,Active
